Sagittarius,Kaus Australis,Ascella
Sagittarius,Kaus Media,Phi Sagittarius
Sagittarius,Kaus Media,Kaus Borealis
Sagittarius,Phi Sagittarius,Ascella
Sagittarius,Phi Sagittarius,Kaus Borealis
Sagittarius,Kaus Borealis,Polis
Sagittarius,Phi Sagittarius,Nunki
Sagittarius,Ascella,Tau Sagittarius
Sagittarius,Nunki,Tau Sagittarius
Sagittarius,Nunki,Xi02 Sagittarius
Sagittarius,Tau Sagittarius,h01 Sagittarius
Sagittarius,Xi02 Sagittarius,Omicron Sagittarius
Sagittarius,Omicron Sagittarius,d Sagittarius
Sagittarius,d Sagittarius,Rho01 Sagittarius
Sagittarius,h01 Sagittarius,c Sagittarius
Sagittarius,c Sagittarius,Theta01 Sagittarius
Sagittarius,Theta01 Sagittarius,Iota Sagittarius
Sagittarius,Iota Sagittarius,Rukbat
Sagittarius,Iota Sagittarius,Arkab Posterior
Aquarius,Albali,Sadalsuud
