* zet Ori,05 40 45.5266,-01 56 33.264,3.19,2.03,1.77,4.43,O,Alnitak,ZEta Orion,,SAO 132444,HIP 26727,,,
* sig Sco,16 21 11.3157,-25 35 34.051,-10.6,-16.28,2.89,4.68,B,Alniyat,Sigma Scorpius,HD 147165,SAO 184336,HIP 80112,HR  6084,Gaia DR2 6048602103659567488,Gaia DR3 6048602103663486592
* alf Hya,09 27 35.2427,-08 39 30.958,-15.23,34.37,1.97,18.09,K,Alphard,Alpha Hydra,HD  81797,SAO 136871,HIP 46390,HR  3748,,
* alf CrB,15 34 41.2680,+26 42 52.894,120.27,-89.58,2.24,43.46,A,Alphecca,Alpha Corona Borealis,HD 139006,SAO  83893,HIP 76267,HR  5793,,Gaia DR3 1222646935698492160
* alf And,00 08 23.2598,+29 05 25.552,137.46,-163.44,2.06,33.62,B,Alpheratz,Alpha Andromeda,HD    358,SAO  73765,HIP 677,HR    15,,
* eta Psc,01 31 29.0081,+15 20 44.994,28.584,-3.217,3.62,8.7335,G,Alpherg,Eta Pisces,HD   9270,SAO  92484,HIP 7097,HR   437,Gaia DR2 2591891443195389696,Gaia DR3 2591891443195067264
HD 161693,17 43 59.1688,+53 48 06.146,18.401,-17.001,5.76,7.0268,A,Alruba,,HD 161693,SAO  30538,HIP 86782,HR  6618,Gaia DR2 1416872022613598464,Gaia DR3 1416872022613598464
* sig Dra,19 32 21.5902,+69 39 40.235,597.384,-1738.286,4.68,173.4939,K,Alsafi,Sigma Draco,HD 185144,SAO  18396,HIP 96100,HR  7462,Gaia DR2 2261614264930275072,Gaia DR3 2261614264931057664
* 31 Lyn,08 22 50.1094,+43 11 17.270,-21.3,-100.621,4.25,8.8828,K,Alsciaukat,31 Lynx,HD  70272,SAO  42319,HIP 41075,HR  3275,Gaia DR2 916230087467389312,Gaia DR3 916230087468692864
* bet Aql,19 55 18.7928,+06 24 24.351,45.944,-480.965,3.71,73.5249,G,Alshain,BEta Aquila,HD 188512,SAO 125235,HIP 98036,HR  7602,Gaia DR2 4296708789289486080,Gaia DR3 4296708789290712064
* nu. Cap,20 20 39.8157,-12 45 32.690,14.13,-15.123,4.76,12.1737,B,Alshat,Nu Capricornus,HD 193432,SAO 163468,HIP 100310,HR  7773,Gaia DR2 6879844473485400576,Gaia DR3 6879844473490229888
* alf Aql,19 50 46.9985,+08 52 05.956,536.23,385.29,0.76,194.95,A,Altair,Alpha Aquila,HD 187642,SAO 125122,HIP 97649,HR  7557,,
